1,Noah,LYLES,9.79,9.79,USA,90,100,y
2,Akani,SIMBINE,9.82,9.82,RSA,90,100,n
3,Fred,KERLEY,9.76,9.81,USA,85,100,n
4,Christian,COLEMAN,9.76,9.86,USA,60,100,n
5,Kishane,THOMPSON,9.77,9.77,JAM,65,100,n
6,Letsile,TEBOGO,9.86,9.86,BOT,95,100,n
7,Lamont Marcell,JACOBS,9.8,9.85,ITA,85,80,n
8,Ackeem,BLAKE,9.89,9.89,JAM,50,100,n
9,Oblique,SEVILLE,9.81,9.81,JAM,50,60,n
10,Kenneth,BEDNAREK,9.87,9.87,USA,65,100,n
11,Emmanuel,ESEME,9.96,9.98,CMR,60,100,n
12,Ferdinand,OMANYALA,9.77,9.79,KEN,40,100,n
13,Abdul Hakim,SANI-BROWN,9.96,9.96,JPN,90,100,n
14,Andre,DE GRASSE,9.89,9.98,CAN,90,80,n
15,Chituru,ALI,9.96,9.96,ITA,60,100,n
16,Louie,HINCHLIFFE,9.95,9.95,GBR,60,100,n
17,Emmanuel,MATADI,9.91,9.91,LBR,60,100,n
18,Brandon,HICKLIN,9.94,9.94,USA,60,100,n
19,Kyree,KING,9.96,9.97,USA,60,100,n
20,Jeremiah,AZU,9.97,9.97,GBR,60,100,n
21,Benjamin,RICHARDSON,9.86,9.86,RSA,60,100,n
22,Courtney,LINDSEY,9.89,9.97,USA,40,100,n
23,Ronnie,BAKER,9.83,9.95,USA,45,100,n
24,Pjai,AUSTIN,9.89,9.94,USA,60,100,n
25,Kayinsola,AJAYI,10,10,NGR,60,100,n
26,Hiroki,YANAGITA,10.02,10.02,JPN,50,100,n
27,Felipe,BARDI,9.96,10,BRA,60,100,n
28,Joshua,HARTMANN,9.92,10.06,GER,60,100,n
29,Henrik,LARSSON,10.08,10.08,SWE,60,100,n
30,Joseph,FAHNBULLEH,9.98,10,LBR,75,100,n
31,Rohan,WATSON,9.91,10.07,JAM,35,100,n
32,Romell,GLAVE,10.02,10.05,GBR,60,100,n
33,Jerome,BLAKE,10,10.01,CAN,60,100,n
34,Kendal,WILLIAMS,9.93,9.93,USA,60,100,n
35,Rikkoi,BRATHWAITE,10,10,IVB,60,100,n
36,Owen,ANSAH,9.99,9.99,GER,60,100,n
37,Usheoritse,ITSEKIRI,10.02,10.05,NGR,60,100,n
38,Wanya,MCCOY,10.02,10.02,BAH,60,100,n
39,Erik,CARDOSO,9.97,10.07,BRA,60,100,n
40,Akihiro,HIGASHIDA,10.14,10.14,JPN,60,100,n
41,Benjamin,AZAMATI,9.9,10.05,GHA,60,100,n
42,Favour Oghene Tejiri,ASHE,9.94,9.94,NGR,60,100,n
43,Ryiem,FORDE,9.95,10.02,JAM,60,100,n
44,Ali Anwar Ali,AL BALUSHI,10,10.14,OMA,60,100,n
45,Duan,ASEMOTA,10.03,10.03,CAN,60,100,n
46,Simon,HANSEN,10.11,10.11,DEN,60,100,n
47,Jose,GONZALEZ,10.04,10.09,DOM,60,100,n
48,Kayhan,OZER,9.89,10.17,TUR,60,100,n
49,Shaun,MASWANGANYI,9.91,10.02,RSA,60,100,n
50,Christian,MILLER,9.93,9.93,USA,60,100,n
51,Sandrey,DAVISON,10,10,JAM,60,100,n
52,Abdul-Rasheed,SAMINU,10.02,10.02,GHA,60,100,n
53,Pablo,MATEO,9.92,10.08,FRA,60,100,n
54,Julian,FORTE,9.91,10,JAM,60,100,n
55,Simon,VERHERSTRAETEN,10.06,10.06,BEL,60,100,n
56,Aaron,BROWN,9.96,10.1,CAN,55,100,n
